Date,HomeTeam,AwayTeam,FTHG,FTAG,GD,HST,AST,B365H,B365D,B365A,FTR
19/09/2020,Villarreal,Eibar,2,1,1,8,4,1.57,4.0,6.0,H
19/09/2020,Getafe,Osasuna,1,0,1,1,3,1.95,3.25,4.33,H
19/09/2020,Celta,Valencia,2,1,1,6,3,2.2,3.6,3.1,H
20/09/2020,Huesca,Cadiz,0,2,-2,0,4,2.1,3.1,4.0,A
20/09/2020,Betis,Valladolid,2,0,2,6,2,1.85,3.6,4.33,H
20/09/2020,Granada,Alaves,2,1,1,3,3,2.05,3.1,4.2,H
20/09/2020,Sociedad,Real Madrid,0,0,0,1,4,4.75,3.8,1.72,D
26/09/2020,Alaves,Getafe,0,0,0,0,4,3.5,2.9,2.37,D
26/09/2020,Valencia,Huesca,1,1,0,2,4,2.0,3.4,4.0,D
26/09/2020,Elche,Sociedad,0,3,-3,2,7,4.2,3.3,1.95,A
26/09/2020,Betis,Real Madrid,2,3,-1,5,4,4.0,4.0,1.8,A
27/09/2020,Osasuna,Levante,1,3,-2,4,5,2.3,3.2,3.25,A
27/09/2020,Eibar,Ath Bilbao,1,2,-1,1,5,3.0,3.0,2.55,A
27/09/2020,Ath Madrid,Granada,6,1,5,10,6,1.5,4.0,7.5,H
27/09/2020,Cadiz,Sevilla,1,3,-2,5,5,5.0,3.6,1.7,A
27/09/2020,Valladolid,Celta,1,1,0,4,1,2.8,3.0,2.7,D
27/09/2020,Barcelona,Villarreal,4,0,4,9,1,1.53,4.33,6.0,H
29/09/2020,Sociedad,Valencia,0,1,-1,3,5,1.53,4.2,5.75,A
29/09/2020,Getafe,Betis,3,0,3,4,2,2.45,3.1,3.0,H
30/09/2020,Huesca,Ath Madrid,0,0,0,3,2,7.5,4.2,1.45,D
30/09/2020,Villarreal,Alaves,3,1,2,6,3,1.57,3.8,5.75,H
30/09/2020,Eibar,Elche,0,1,-1,4,2,1.8,3.5,4.5,A
30/09/2020,Real Madrid,Valladolid,1,0,1,5,5,1.22,6.0,11.0,H
01/10/2020,Ath Bilbao,Cadiz,0,1,-1,4,1,1.53,3.8,6.5,A
01/10/2020,Sevilla,Levante,1,0,1,2,1,1.4,4.5,7.5,H
01/10/2020,Celta,Barcelona,0,3,-3,3,3,5.75,4.2,1.53,A
03/10/2020,Valladolid,Eibar,1,2,-1,3,5,2.35,3.0,3.4,A
03/10/2020,Ath Madrid,Villarreal,0,0,0,1,2,1.61,3.9,5.5,D
03/10/2020,Elche,Huesca,0,0,0,0,4,3.1,3.1,2.45,D
03/10/2020,Sociedad,Getafe,3,0,3,6,1,2.25,3.1,3.5,H
03/10/2020,Valencia,Betis,0,2,-2,2,8,2.8,3.2,2.6,A
04/10/2020,Osasuna,Celta,2,0,2,5,3,2.7,3.1,2.75,H
04/10/2020,Alaves,Ath Bilbao,1,0,1,3,0,3.3,2.9,2.37,H
04/10/2020,Levante,Real Madrid,0,2,-2,4,3,6.0,4.5,1.5,A
04/10/2020,Cadiz,Granada,1,1,0,4,5,3.0,3.0,2.6,D
04/10/2020,Barcelona,Sevilla,1,1,0,5,1,1.57,4.33,5.25,D
17/10/2020,Granada,Sevilla,1,0,1,3,3,4.2,3.4,1.9,H
17/10/2020,Celta,Ath Madrid,0,2,-2,5,4,5.5,3.3,1.75,A
17/10/2020,Real Madrid,Cadiz,0,1,-1,2,5,1.18,7.0,15.0,A
17/10/2020,Getafe,Barcelona,1,0,1,4,1,4.75,3.8,1.72,H
18/10/2020,Eibar,Osasuna,0,0,0,6,2,2.6,3.0,3.0,D
18/10/2020,Ath Bilbao,Levante,2,0,2,5,1,2.05,3.2,4.0,H
18/10/2020,Villarreal,Valencia,2,1,1,6,3,1.6,4.0,5.25,H
18/10/2020,Alaves,Elche,0,2,-2,2,3,1.75,3.3,5.5,A
18/10/2020,Huesca,Valladolid,2,2,0,7,3,2.25,2.9,3.8,D
18/10/2020,Betis,Sociedad,0,3,-3,1,5,2.5,3.25,2.9,A
23/10/2020,Elche,Valencia,2,1,1,2,4,3.2,3.1,2.4,H
24/10/2020,Barcelona,Real Madrid,1,3,-2,4,9,2.0,3.6,3.6,A
24/10/2020,Osasuna,Ath Bilbao,1,0,1,2,5,3.25,2.9,2.4,H
24/10/2020,Sevilla,Eibar,0,1,-1,3,1,1.45,4.33,7.5,A
