Date,HomeTeam,AwayTeam,FTHG,FTAG,GD,HST,AST,B365H,B365D,B365A,FTR
19/09/2020,Verona,Roma,0.0,0.0,0.0,7.0,7.0,3.75,3.5,1.95,D
20/09/2020,Parma,Napoli,0.0,2.0,-2.0,2.0,7.0,5.25,4.2,1.61,A
20/09/2020,Genoa,Crotone,4.0,1.0,3.0,8.0,5.0,1.9,3.6,4.0,H
20/09/2020,Sassuolo,Cagliari,1.0,1.0,0.0,10.0,4.0,1.95,3.75,3.75,D
20/09/2020,Juventus,Sampdoria,3.0,0.0,3.0,9.0,2.0,1.28,5.5,10.5,H
21/09/2020,Milan,Bologna,2.0,0.0,2.0,6.0,5.0,1.57,4.33,5.5,H
26/09/2020,Torino,Atalanta,2.0,4.0,-2.0,5.0,7.0,4.75,4.4,1.61,A
26/09/2020,Cagliari,Lazio,0.0,2.0,-2.0,3.0,7.0,5.0,4.0,1.66,A
26/09/2020,Sampdoria,Benevento,2.0,3.0,-1.0,4.0,6.0,2.0,3.6,3.6,A
26/09/2020,Inter,Fiorentina,4.0,3.0,1.0,6.0,4.0,1.5,4.5,6.0,H
27/09/2020,Spezia,Sassuolo,1.0,4.0,-3.0,6.0,8.0,4.75,4.0,1.66,A
27/09/2020,Napoli,Genoa,6.0,0.0,6.0,11.0,1.0,1.3,5.5,10.0,H
27/09/2020,Verona,Udinese,1.0,0.0,1.0,2.0,6.0,2.7,3.0,2.8,H
27/09/2020,Crotone,Milan,0.0,2.0,-2.0,1.0,7.0,6.0,4.5,1.5,A
27/09/2020,Roma,Juventus,2.0,2.0,0.0,6.0,3.0,3.6,3.6,2.0,D
28/09/2020,Bologna,Parma,4.0,1.0,3.0,8.0,4.0,1.95,3.6,3.6,H
30/09/2020,Benevento,Inter,2.0,5.0,-3.0,7.0,12.0,9.0,4.75,1.36,A
30/09/2020,Udinese,Spezia,0.0,2.0,-2.0,5.0,3.0,1.6,3.75,5.75,A
30/09/2020,Lazio,Atalanta,1.0,4.0,-3.0,8.0,6.0,2.55,3.5,2.55,A
02/10/2020,Fiorentina,Sampdoria,1.0,2.0,-1.0,6.0,10.0,1.61,4.0,5.25,A
03/10/2020,Sassuolo,Crotone,4.0,1.0,3.0,4.0,6.0,1.4,5.0,7.0,H
03/10/2020,Udinese,Roma,0.0,1.0,-1.0,5.0,3.0,5.0,4.0,1.66,A
04/10/2020,Atalanta,Cagliari,5.0,2.0,3.0,14.0,3.0,1.25,6.5,10.0,H
04/10/2020,Benevento,Bologna,1.0,0.0,1.0,3.0,7.0,3.1,3.6,2.2,H
04/10/2020,Lazio,Inter,1.0,1.0,0.0,5.0,4.0,3.1,3.7,2.2,D
04/10/2020,Parma,Verona,1.0,0.0,1.0,5.0,5.0,2.87,3.1,2.62,H
04/10/2020,Milan,Spezia,3.0,0.0,3.0,5.0,2.0,1.28,5.5,11.0,H
17/10/2020,Napoli,Atalanta,4.0,1.0,3.0,14.0,3.0,2.5,3.8,2.55,H
17/10/2020,Inter,Milan,1.0,2.0,-1.0,6.0,4.0,2.3,3.5,3.0,A
17/10/2020,Sampdoria,Lazio,3.0,0.0,3.0,8.0,1.0,3.3,3.5,2.15,H
17/10/2020,Crotone,Juventus,1.0,1.0,0.0,3.0,3.0,6.5,4.5,1.45,D
18/10/2020,Bologna,Sassuolo,3.0,4.0,-1.0,7.0,12.0,2.9,3.6,2.3,A
18/10/2020,Spezia,Fiorentina,2.0,2.0,0.0,2.0,6.0,5.25,4.0,1.61,D
18/10/2020,Torino,Cagliari,2.0,3.0,-1.0,6.0,7.0,2.1,3.5,3.4,A
18/10/2020,Udinese,Parma,3.0,2.0,1.0,4.0,3.0,,,,H
18/10/2020,Roma,Benevento,5.0,2.0,3.0,10.0,4.0,1.33,5.5,8.5,H
19/10/2020,Verona,Genoa,0.0,0.0,0.0,12.0,2.0,,,,D
23/10/2020,Sassuolo,Torino,3.0,3.0,0.0,9.0,12.0,1.66,4.33,4.5,D
24/10/2020,Atalanta,Sampdoria,1.0,3.0,-2.0,5.0,4.0,1.4,5.5,6.5,A
24/10/2020,Genoa,Inter,0.0,2.0,-2.0,0.0,6.0,7.5,4.5,1.4,A
24/10/2020,Lazio,Bologna,2.0,1.0,1.0,4.0,6.0,1.65,4.0,4.75,H
25/10/2020,Cagliari,Crotone,4.0,2.0,2.0,8.0,6.0,2.0,3.6,3.6,H
25/10/2020,Benevento,Napoli,1.0,2.0,-1.0,3.0,8.0,8.0,6.0,1.3,A
25/10/2020,Parma,Spezia,2.0,2.0,0.0,7.0,9.0,2.05,3.5,3.5,D
25/10/2020,Fiorentina,Udinese,3.0,2.0,1.0,3.0,6.0,1.72,3.6,4.75,H
25/10/2020,Juventus,Verona,1.0,1.0,0.0,8.0,2.0,1.33,5.0,8.5,D
26/10/2020,Milan,Roma,3.0,3.0,0.0,11.0,9.0,2.05,3.6,3.3,D
31/10/2020,Crotone,Atalanta,1.0,2.0,-1.0,2.0,7.0,6.5,4.75,1.44,A
31/10/2020,Inter,Parma,2.0,2.0,0.0,9.0,3.0,1.33,5.5,8.0,D
31/10/2020,Bologna,Cagliari,3.0,2.0,1.0,11.0,4.0,1.85,4.2,3.6,H
01/11/2020,Udinese,Milan,1.0,2.0,-1.0,3.0,4.0,4.5,3.9,1.72,A
01/11/2020,Spezia,Juventus,1.0,4.0,-3.0,3.0,5.0,9.0,5.25,1.33,A
01/11/2020,Torino,Lazio,3.0,4.0,-1.0,6.0,5.0,3.6,3.8,1.9,A
01/11/2020,Napoli,Sassuolo,0.0,2.0,-2.0,7.0,5.0,1.53,4.6,5.5,A
01/11/2020,Roma,Fiorentina,2.0,0.0,2.0,7.0,1.0,1.75,3.8,4.2,H
01/11/2020,Sampdoria,Genoa,1.0,1.0,0.0,3.0,4.0,1.9,3.6,4.0,D
02/11/2020,Verona,Benevento,3.0,1.0,2.0,7.0,5.0,2.05,3.5,3.6,H
04/11/2020,Genoa,Torino,1.0,2.0,-1.0,4.0,1.0,2.35,3.5,2.8,A
06/11/2020,Sassuolo,Udinese,0.0,0.0,0.0,1.0,0.0,2.15,3.8,3.1,D
07/11/2020,Cagliari,Sampdoria,2.0,0.0,2.0,7.0,1.0,2.75,3.5,2.4,H
07/11/2020,Benevento,Spezia,0.0,3.0,-3.0,3.0,7.0,1.9,3.6,3.75,A
