Date,HomeTeam,AwayTeam,FTHG,FTAG,GD,HST,AST,B365H,B365D,B365A,FTR
22/09/2021,Montpellier,Bordeaux,3.0,3.0,0.0,6.0,7.0,1.9,3.6,3.8,D
22/09/2021,Nantes,Brest,3.0,1.0,2.0,6.0,2.0,2.05,3.5,3.4,H
22/09/2021,Rennes,Clermont,6.0,0.0,6.0,10.0,1.0,1.95,3.6,3.8,H
22/09/2021,Angers,Marseille,0.0,0.0,0.0,1.0,1.0,3.75,3.25,2.05,D
22/09/2021,Lens,Strasbourg,0.0,1.0,-1.0,4.0,1.0,1.95,3.6,3.75,A
22/09/2021,Lorient,Nice,1.0,0.0,1.0,1.0,1.0,3.3,3.5,2.15,H
22/09/2021,Lyon,Troyes,3.0,1.0,2.0,8.0,7.0,1.4,4.5,8.5,H
22/09/2021,Metz,Paris SG,1.0,2.0,-1.0,2.0,5.0,11.0,7.0,1.22,A
25/09/2021,St Etienne,Nice,0.0,3.0,-3.0,6.0,9.0,3.3,3.3,2.25,A
25/09/2021,Strasbourg,Lille,1.0,2.0,-1.0,3.0,7.0,2.8,3.2,2.62,A
25/09/2021,Lyon,Lorient,1.0,1.0,0.0,2.0,5.0,1.33,5.25,8.5,D
25/09/2021,Paris SG,Montpellier,2.0,0.0,2.0,5.0,4.0,1.18,8.0,12.0,H
26/09/2021,Bordeaux,Rennes,1.0,1.0,0.0,3.0,8.0,3.4,3.4,2.15,D
26/09/2021,Brest,Metz,1.0,2.0,-1.0,2.0,4.0,2.0,3.5,3.75,A
26/09/2021,Reims,Nantes,3.0,1.0,2.0,5.0,2.0,2.55,3.1,2.9,H
26/09/2021,Troyes,Angers,1.0,1.0,0.0,3.0,6.0,2.75,3.2,2.7,D
26/09/2021,Clermont,Monaco,1.0,3.0,-2.0,4.0,3.0,3.8,3.5,2.0,A
26/09/2021,Marseille,Lens,2.0,3.0,-1.0,4.0,5.0,1.72,3.75,5.0,A
21/08/2020,Bordeaux,Nantes,0.0,0.0,0.0,1.0,1.0,2.4,3.0,3.25,D
22/08/2020,Dijon,Angers,0.0,1.0,-1.0,1.0,4.0,2.7,3.1,2.8,A
22/08/2020,Lille,Rennes,1.0,1.0,0.0,1.0,3.0,2.3,3.2,3.3,D
23/08/2020,Monaco,Reims,2.0,2.0,0.0,5.0,3.0,1.9,3.4,4.33,D
